Date,City,Country,Venue,Url,Capacity
27 February 1977,Fort Worth,United States,Tarrant County Arena,https://en.wikipedia.org/wiki/Fort_Worth_Convention_Center,13500
28 February 1977,Houston,United States,The Summit,https://en.wikipedia.org/wiki/The_Summit_(Houston),16000
1 March 1977,Baton Rouge,United States,LSU Assembly Center,https://en.wikipedia.org/wiki/LSU_Assembly_Center,13215
3 March 1977,Oklahoma City,United States,The Myriad,https://en.wikipedia.org/wiki/Cox_Convention_Center,13846
4 March 1977,Dallas,United States,Dallas Memorial Auditorium,https://en.wikipedia.org/wiki/Dallas_Memorial_Auditorium,10000
6 March 1977,Tempe,United States,ASU Activity Center,https://en.wikipedia.org/wiki/ASU_Activity_Center,14100
8 March 1977,San Diego,United States,San Diego Sports Arena,https://en.wikipedia.org/wiki/San_Diego_Sports_Arena,14500
11 March 1977,Inglewood,United States,The Forum,"https://en.wikipedia.org/wiki/The_Forum_(Inglewood,_California)",17500
12 March 1977,Inglewood,United States,The Forum,"https://en.wikipedia.org/wiki/The_Forum_(Inglewood,_California)",17500
13 March 1977,Inglewood,United States,The Forum,"https://en.wikipedia.org/wiki/The_Forum_(Inglewood,_California)",17500
14 March 1977,Inglewood,United States,The Forum,"https://en.wikipedia.org/wiki/The_Forum_(Inglewood,_California)",17500
15 March 1977,Inglewood,United States,The Forum,"https://en.wikipedia.org/wiki/The_Forum_(Inglewood,_California)",17500
1 April 1977,Toronto,Canada,Maple Leaf Gardens,https://en.wikipedia.org/wiki/Maple_Leaf_Gardens,12473
3 April 1977,Montreal,Canada,Montreal Forum,https://en.wikipedia.org/wiki/Montreal_Forum,17959
4 April 1977,Montreal,Canada,Montreal Forum,https://en.wikipedia.org/wiki/Montreal_Forum,17959
6 April 1977,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium,18676
7 April 1977,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium,18676
9 April 1977,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium,18676
10 April 1977,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium,18676
12 April 1977,Bloomington,United States,Met Center,https://en.wikipedia.org/wiki/Met_Center,16000
13 April 1977,St. Paul,United States,St. Paul Civic Center,https://en.wikipedia.org/wiki/St._Paul_Civic_Center,16000
15 April 1977,St. Louis,United States,St. Louis Arena,https://en.wikipedia.org/wiki/St._Louis_Arena,14200
17 April 1977,Indianapolis,United States,Market Square Arena,https://en.wikipedia.org/wiki/Market_Square_Arena,16530
19 April 1977,Cincinnati,United States,Riverfront Coliseum,https://en.wikipedia.org/wiki/Riverfront_Coliseum,17556
20 April 1977,Cincinnati,United States,Riverfront Coliseum,https://en.wikipedia.org/wiki/Riverfront_Coliseum,17556
22 April 1977,Dayton,United States,UD Arena,https://en.wikipedia.org/wiki/UD_Arena,13435
25 April 1977,Louisville,United States,Freedom Hall,https://en.wikipedia.org/wiki/Freedom_Hall,18865
27 April 1977,Richfield,United States,Richfield Coliseum,https://en.wikipedia.org/wiki/Richfield_Coliseum,20273
28 April 1977,Richfield,United States,Richfield Coliseum,https://en.wikipedia.org/wiki/Richfield_Coliseum,20273
30 April 1977,Pontiac,United States,Pontiac Silverdome,https://en.wikipedia.org/wiki/Pontiac_Silverdome,80311
20 May 1977,Birmingham,United States,Jefferson Civic Center,https://en.wikipedia.org/wiki/Jefferson_Civic_Center,19000
21 May 1977,Atlanta,United States,Omni Coliseum,https://en.wikipedia.org/wiki/The_Omni,16181
23 May 1977,Greensboro,United States,Greensboro Coliseum,https://en.wikipedia.org/wiki/Greensboro_Coliseum_Complex,15000
25 May 1977,Landover,United States,Capital Centre,https://en.wikipedia.org/wiki/Capital_Centre,19035
26 May 1977,Landover,United States,Capital Centre,https://en.wikipedia.org/wiki/Capital_Centre,19035
28 May 1977,Landover,United States,Capital Centre,https://en.wikipedia.org/wiki/Capital_Centre,19035
30 May 1977,Landover,United States,Capital Centre,https://en.wikipedia.org/wiki/Capital_Centre,19035
3 June 1977,Tampa,United States,Tampa Stadium,https://en.wikipedia.org/wiki/Tampa_Stadium,46481
7 June 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,19812
8 June 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,19812
10 June 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,19812
11 June 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,19812
13 June 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,19812
14 June 1977,New York City,United States,Madison Square Garden,https://en.wikipedia.org/wiki/Madison_Square_Garden,19812
17 July 1977,Seattle,United States,Seattle Kingdome,https://en.wikipedia.org/wiki/Kingdome,59166
23 July 1977,Oakland,United States,Oakland-Alameda County Coliseum,https://en.wikipedia.org/wiki/Oakland–Alameda_County_Coliseum,46847
24 July 1977,Oakland,United States,Oakland-Alameda County Coliseum,https://en.wikipedia.org/wiki/Oakland–Alameda_County_Coliseum,46847
30 July 1977,New Orleans,United States,Louisiana Superdome,https://en.wikipedia.org/wiki/Louisiana_Superdome,0
3 August 1977,Chicago,United States,Chicago Stadium,https://en.wikipedia.org/wiki/Chicago_Stadium,0
6 August 1977,Orchard Park,United States,Rich Stadium,https://en.wikipedia.org/wiki/Rich_Stadium,0
8 August 1977,Buffalo,United States,Buffalo Memorial Auditorium,https://en.wikipedia.org/wiki/Buffalo_Memorial_Auditorium,0
9 August 1977,Pittsburgh,United States,Civic Arena,https://en.wikipedia.org/wiki/Civic_Arena_(Pittsburgh),0
10 August 1977,Pittsburgh,United States,Civic Arena,https://en.wikipedia.org/wiki/Civic_Arena_(Pittsburgh),0
13 August 1977,Philadelphia,United States,John F. Kennedy Stadium,https://en.wikipedia.org/wiki/John_F._Kennedy_Stadium_(Philadelphia),0