Crocodile Rock,10/1972,1
Benny And The Jets,2/1974,1
Whatever Gets You Thru The Night,04.10.1974,1
Lucy In The Sky With Diamonds,15.11.1974,1
Philadelphia Freedom,28.02.1975,1
Someone Saved My Life Tonight,20.06.1975,1
Island Girl,26.09.1975,1
Don't Go Breaking My Heart,25.06.1976,1
Don't Let The Sun Go Down On Me,11/1991,1
Something About The Way You Look Tonight,01.09.1997,1
Goodbye Yellow Brick Road,10/1973,2
Don't Let The Sun Go Down On Me,24.05.1974,2
I Don't Wanna Go On With You Like That,5/1988,2
Little Jeannie,4/1980,3
The Bitch Is Back,30.08.1974,4
I Guess That's Why They Call It The Blues,10/1983,4
Can You Feel The Love Tonight?,04.07.1994,4
Sad Songs (Say So Much),18.05.1984,5
Rocket Man,5/1972,6
Daniel,12.01.1973,6
Sorry Seems To Be The Hardest Word,29.10.1976,6
Candle In The Wind (live),10/1987,6
Nikita,1/1986,7
Your Song,11/1970,8
Honky Cat,8/1972,8
Grow Some Funk Of Your Own,16.01.1976,9
Mama Can't Buy You Love,6/1979,9
The One,5/1992,9
Blue Eyes,26.03.1982,10