When I Think Of You,8/1986,1
Miss You Much,8/1989,1
Escapade,1/1990,1
Come Back To Me,1/1990,1
Black Cat,8/1990,1
Love Will Never Do (Without You),15.10.1990,1
That's The Way Love Goes,4/1993,1
Again,10/1993,1
Together Again (Janet)),01.12.1997,1
Doesn't Really Matter,07.08.2000,1
All For You,09.04.2001,1
Let's Wait Awhile,1/1987,2
Rhythm Nation,10/1989,2
If,19.07.1993,2
"Any Time, Any Place",13.06.1994,2
Nasty,5/1986,3
Runaway,9/1995,3
I Get Lonely feat. Blackstreet,23.03.1998,3
What's It Gonna Be,16.03.1999,3
Someone To Call My Lover,16.07.2001,3
What Have You Done For Me Lately,2/1986,4
Alright,3/1990,4
Control,10/1986,5
Diamonds and Herb Alpert,4/1987,5
Scream,05.06.1995,5
You Want This,07.11.1994,8
The Best Things In Life Are Free and Luther Vandross,5/1992,10
Because Of Love,28.02.1994,10